la_code,est_no,urn,name,source_est_type,gias_establishment_type,s41_granted,s41_revoked
933,6207,134909,3 Dimensions,Independent special school,Other independent special school,01/08/2016,
340,7017,142457,Activate,Special post-16 institution,Special post 16 institution,01/08/2015,
303,6004,149157,ADO River Valley School,Independent Special School,Other independent special school,01/08/2024,
309,7905,141243,Ambitious College,Special post-16 institution,Special post 16 institution,01/09/2014,
943,6048,130367,Appletree School,Independent special school,Other independent special school,01/09/2014,
661,6022,401970,Aran Hall School,Independent special school,Welsh establishment,01/09/2014,
330,6041,145859,Arc Oakbridge School,Independent special school,Other independent special school,01/08/2019,
343,8220,131935,Arden College,Special post-16 institution,Special post 16 institution,01/09/2014,
309,7904,139243,Area 51 Education Ltd,Special post-16 institution,Special post 16 institution,01/09/2014,
342,7904,139251,Ascent Autism Specialist College,Special post-16 institution,Special post 16 institution,01/09/2014,
936,6067,149714,Ashley Park School,Independent Special School,Other independent special school,01/08/2024,
838,6042,146790,Aurora Beeches School,Independent special school,Other independent special school,01/08/2021,
838,7900,146038,Aurora Boveridge College,Special post-16 institution,Special post 16 institution,01/12/2018,
933,7906,131892,Aurora Foxes,Special post-16 institution,Special post 16 institution,01/09/2014,
860,6044,143839,Aurora Hanley School,Independent Special School,Other independent special school,01/08/2024,
873,6008,110920,Aurora Meldreth Manor School,Independent special school,Other independent special school,01/09/2014,
803,6009,138563,Aurora Hedgeway School,Independent special school,Other independent special school,01/08/2017,
305,6082,136265,Baston House School,Independent special school,Other independent special school,01/08/2015,
888,7905,131840,Beaumont College - A Salutem/Ambito College,Special post-16 institution,Special post 16 institution,01/09/2014,
673,7905,142458,Beechwood College,Special post-16 institution,Special post 16 institution,01/08/2015,
878,6082,147471,Belong School Devon,Independent special school,Other independent special school,01/08/2023,
916,6025,146671,Belong School Gloucestershire,Independent special school,Other independent special school,01/08/2023,
886,7919,144788,Bemix,Special post-16 institution,Special post 16 institution,01/08/2017,
205,7900,146361,BeyondAutism Post-19,Special post-16 institution,Special post 16 institution,01/08/2018,
830,6009,113019,Bladon House School,Independent special school,Other independent special school,01/09/2014,
