ab_name_ecf1,appropriate_body_id,hub_region,ab_name_riab
Saffron Teaching School Hub (Saffron Walden County High School),4cb21fcf-d643-4120-9c5b-2d105abcb4af,EE1,Saffron Teaching School Hub
Inspiration Teaching School Hub,a77df925-7b9e-4957-a3b4-aa9d9318a7cd,EE10,Inspiration Teaching School Hub
Chafford Hundred Teaching School Hub (Harris Academy Chafford Hundred),c99bfcf6-1dc6-49fd-9a28-abe670720883,EE5,Chafford Hundred Teaching School Hub
Unity Teaching School Hub (Churchill Special Free School),3162da6d-8b35-4861-9939-48cb85d802f7,EE6/EE2,Unity Teaching School Hub
Alban Teaching School Hub (Sandringham School),acff7f4a-2967-44c2-8c2a-99b4552dd9a8,EE7,Alban Teaching School Hub
Chiltern Teaching School Hub (Denbigh High School),1db342ef-4b29-452d-b105-12ae959b631d,EE8&EE9,Chiltern Teaching School Hub
Leicestershire & Rutland TS Hub (Christ the King Catholic Voluntary Academy),5baa0a83-ccf7-4c25-9564-81754b481337,EM1,Leicestershire & Rutland TS Hub
Redhill Teaching School Hub (The Carlton Junior Academy),83ebc588-154b-4afc-87d1-cf3f3005e3d9,EM2,Redhill Teaching Hub
Potentia Teaching School Hub (Swanwick School),287967cc-40f7-4e7e-b1b0-786f1767d06c,EM3,Potentia TSH
Flying High Teaching School Hub (The Flying High Academy),ec9f0d00-4ab7-44d9-97a9-8057bce3f5b4,EM4,Flying High Teaching School Hub
Leicester & Leicestershire Teaching School Hub (Rushey Mead Academy),f68d9fe5-fe43-4186-8495-8ea0b182821d,EM5,Leicester & Leicestershire TSH
L.E.A.D. Teaching School Hub Lincolnshire (Witham St Hughs Academy),742bdf50-5a2b-45d8-9131-36ddaaccbf08,EM6,L.E.A.D. Teaching School Hub Lincolnshire
Spencer Teaching School Hub (Chetwynd Spencer Academy),a3c3064a-52ba-4bfe-b4b5-3b9991d2b9ce,EM7,Spencer Teaching School Hub
Northamptonshire Teaching School Hub (Brooke Weston Academy),80d6265f-8ca4-4604-a3cb-b4512b8e4ae2,EM8,Northamptonshire Teaching School Hub
East London Teaching School Hub (Mulberry School for Girls),e883f73b-48e5-4bb9-b577-d3151f7a94d7,L1,East London Teaching School Hub
Thames South Teaching School Hub  (Pickhurst Infant Academy),710e9278-b3fe-4bf6-8b26-e118647ae80a,L10,Thames South Teaching School Hub
London District East Teaching School Hub (Tollgate Primary School),3fbad505-80d8-4aed-b5cb-141270b3e5c7,L2,London District East Teaching School Hub
Cambridgeshire and Peterborough Teaching School Hub (Histon and Impington Brook Primary School),c14321bb-cd23-4076-bc9d-9b264cf7255b,L3,Cambridgeshire and Peterborough Teaching School Hub
North East London Teaching School Hub (Harris Chobham Academy),bb014ec5-a974-4173-adcc-8cd9f8573fb0,L3,North East London Teaching School Hub
North West London Teaching School Hub (NWLTSH) (Wembley High Technology College),7a6fa110-9550-4a54-8952-5d063f5d9d1f,L4,North West London Teaching School Hub
Teach West London (Twyford Church of England High School),658c4468-30d9-4563-8581-0d20c075220f,L5,Teach West London
Central London Teaching School Hub (Paddington Academy),6b433d0a-2244-4132-931f-c7c17b8fa68c,L6,Central London Teaching School Hub
Wandle Teaching School Hub (Chesterton Primary School),cda22c42-2e71-45d0-914a-d2fafadd52ea,L7,Wandle Teaching School Hub
Harris City Academy Crystal Palace Teaching School Hub (Harris City Academy Crystal Palace),9e78be52-5598-4883-881c-814f63fb91e7,L8,Harris City Academy Crystal Palace Teaching School Hub
London South Teaching School Hub (Charles Dickens Primary School),da694a86-d043-4aea-b4b1-dfb85a93eb88,L9,London South Teaching School Hub
The Three Rivers Teaching School Hub (The King Edward VI Academy),9bb3b070-00b9-4881-a118-7c5d71f412de,NE1,The Three Rivers Teaching School Hub
"Tees Valley Teaching School Hub (St John Vianney Catholic Primary School, Hartlepool)",ff335729-990b-4e0f-9f05-1fb279491a68,NE2,Tees Valley Teaching School Hub
Northern Lights Teaching School Hub: South Tyne & Wear (Benedict Biscop Church of England Academy),3b9cf79f-5bd4-4b81-b627-0d5ccac8b5bf,NE3,Northern Lights TSH: South Tyne & Wear
NELT Teaching School Hub (Teesdale School and Sixth Form),cc390aa6-4d13-46a0-8e05-960fe4e198dc,NE4,NELTSH Teaching School Hub
Inspire Learning Teaching School Hub NW (Our Lady of Pity Catholic Primary School),3028b162-409f-4143-90d7-e312357b1300,NW1,Inspire Learning Teaching School Hub NW
The East Manchester Teaching School Hub (The Blue Coat CofE School),d4d9529e-aca5-41ff-881b-267a8570aaac,NW10,The East Manchester Teaching Hub
One Cumbria Teaching School Hub (Queen Elizabeth Grammar School Penrith),53eee9d4-7458-4cce-aaac-2358801d1e91,NW11,One Cumbria Teaching School Hub
Cheshire Teaching School Hub (St Joseph's College),98634cc2-e894-4959-82b3-ac27cbbbf72d,NW12,Cheshire Teaching School Hub
Generate Teaching School Hub (Evelyn Street Primary Academy and Nursery),30d88c98-1d82-4e9c-af08-c39bbd78acb0,NW2,Generate Teaching Hub
