user_id,participant_profile_id,lead_provider_id,started_on,finished_on,withdrawn_at,withdrawal_reason,training_period_id
741d8813-20ac-43c5-878c-ae909bda47a7,033fccc5-bb97-42bf-9ab6-258aaa70eb1f,7a6753ef-6bb1-4fb3-ba93-fcbf3b20541b,01/09/2022,31/01/2023,31/01/2023,moved-school,264474
be057857-22e2-4928-be96-7fa3d53a64e0,059dc3b7-ba7f-413f-a4d6-d8a55effe755,7a6753ef-6bb1-4fb3-ba93-fcbf3b20541b,01/09/2021,26/02/2026,26/02/2026,other,273028
241bd379-00a4-4cc1-9e11-dfa35a91f4e3,09b903b3-0e7e-4db6-96df-49b6840b1893,7a6753ef-6bb1-4fb3-ba93-fcbf3b20541b,05/09/2022,23/06/2023,23/06/2023,other,149406
325519f0-6dbb-42ac-a51d-fd431bdf6433,0b86d3b3-0c5d-4767-b9fe-38c6fe79a955,7a6753ef-6bb1-4fb3-ba93-fcbf3b20541b,01/09/2022,04/07/2023,04/07/2023,moved-school,181675
0149a827-f1fa-4587-8515-3debd976bdbd,0cec94fb-1fd5-4692-95b1-eab687218484,7a6753ef-6bb1-4fb3-ba93-fcbf3b20541b,01/06/2022,04/07/2023,04/07/2023,other,27320
ae6150cc-3255-459c-a553-8e86aa13caec,105ae645-1db4-4d4b-b416-079d7c5b0fbc,7a6753ef-6bb1-4fb3-ba93-fcbf3b20541b,01/08/2022,09/12/2023,09/12/2023,moved-school,126650
edaf4e74-a279-4916-a192-2257ea8c600d,119922b1-6b5a-4732-a62b-dbcac9a7c94d,7a6753ef-6bb1-4fb3-ba93-fcbf3b20541b,01/09/2021,06/10/2022,06/10/2022,mentor-no-longer-being-mentor,121352
20a097e1-0e62-4225-a10d-1b78156cca5d,14021d09-7575-4d14-a888-119412bf950d,7a6753ef-6bb1-4fb3-ba93-fcbf3b20541b,14/06/2024,14/06/2024,14/06/2024,left-teaching-profession,195433
c3e09e7c-5373-4bf5-99b8-17b68b7ee929,14c8a11d-b30f-4a8a-b4a8-05282213e520,7a6753ef-6bb1-4fb3-ba93-fcbf3b20541b,01/09/2021,28/06/2023,28/06/2023,other,27191
677fd86d-f937-474f-a96c-bfa046f0ceba,1910e7f9-7bfb-4fa0-81ff-fb84bc6b5c8f,7a6753ef-6bb1-4fb3-ba93-fcbf3b20541b,01/09/2021,22/06/2022,22/06/2022,other,188464
eb589086-3612-42ea-bf7d-a6f6da7ee9a3,1a2362de-6579-47ba-bc73-b333caa6c068,7a6753ef-6bb1-4fb3-ba93-fcbf3b20541b,01/09/2021,13/06/2022,13/06/2022,other,290718
be355c4e-f694-490d-acab-59bbc165d3a9,22d145c3-6dc3-43fc-86fe-f747f1c3606c,7a6753ef-6bb1-4fb3-ba93-fcbf3b20541b,01/09/2021,08/02/2023,08/02/2023,other,287177
8197bb77-7b92-41bf-96d4-1b1318f7c932,2a0df7e9-6065-4e11-93f7-056814dc83e7,7a6753ef-6bb1-4fb3-ba93-fcbf3b20541b,01/09/2021,08/01/2024,08/01/2024,switched-to-school-led,164982
e150054a-ceb6-40a3-b4e9-e2a463aa2ea7,2d8c49fd-3b36-4573-949e-a19a81391baa,7a6753ef-6bb1-4fb3-ba93-fcbf3b20541b,16/01/2023,16/01/2023,16/01/2023,left-teaching-profession,254738
e482575c-abe1-432c-b343-5c9354844e92,2da876ef-28c7-414f-b7df-c81f2397c29d,7a6753ef-6bb1-4fb3-ba93-fcbf3b20541b,04/10/2023,04/10/2023,04/10/2023,moved-school,249953
ad0969a3-1d61-4672-80f7-f3af2d9ad7f2,2df2bd64-0f1d-4d54-9253-3ef356ff214c,7a6753ef-6bb1-4fb3-ba93-fcbf3b20541b,01/09/2022,15/05/2023,15/05/2023,moved-school,259864
445572b2-bde9-4b26-b041-231dd147db6d,38722322-5823-4173-858b-20c48b9c85b7,7a6753ef-6bb1-4fb3-ba93-fcbf3b20541b,01/09/2021,06/10/2022,06/10/2022,mentor-no-longer-being-mentor,57760
b7110a47-d37a-4af6-bd86-c1b0e8c91c3b,388bb8a6-22d3-4b67-a388-4f4b48279ce9,7a6753ef-6bb1-4fb3-ba93-fcbf3b20541b,06/09/2022,05/10/2023,05/10/2023,switched-to-school-led,171664
080efd0c-f812-4140-83f0-c927da3c980e,3c4171cb-a588-4e3e-b97f-f4ae709a975c,7a6753ef-6bb1-4fb3-ba93-fcbf3b20541b,20/09/2022,04/07/2023,04/07/2023,other,20627
bb5e8022-984d-4eb4-abc6-2e57e2f1b01a,40301c76-26d8-424d-9986-3c47d6d279d2,7a6753ef-6bb1-4fb3-ba93-fcbf3b20541b,16/02/2023,16/02/2023,16/02/2023,moved-school,203920
1cd9df69-d055-42d0-b82c-77a31152a2c2,4076f735-170a-4ca4-8688-2e3a4a69897f,7a6753ef-6bb1-4fb3-ba93-fcbf3b20541b,17/05/2022,08/09/2022,08/09/2022,other,158375
d575de2a-d550-4ac9-8b8e-c8eb08e86286,40db16ed-9957-49e8-b943-5a0cdad6ae18,7a6753ef-6bb1-4fb3-ba93-fcbf3b20541b,27/04/2023,27/04/2023,27/04/2023,switched-to-school-led,245478
fb562914-d56c-4c6e-b98b-c85fcaca0811,4166d429-f328-4135-8872-8ed853ede231,7a6753ef-6bb1-4fb3-ba93-fcbf3b20541b,01/09/2021,26/02/2026,26/02/2026,other,185447
016537b0-c387-4119-adcc-2acdb626171d,42efadb0-ad3e-4577-8d17-2324fb9262c8,7a6753ef-6bb1-4fb3-ba93-fcbf3b20541b,05/09/2022,23/06/2023,23/06/2023,other,259766
24f74efb-4f73-41df-b7a7-31af6a276ab2,4317855b-4bc0-4655-8046-f076a086c457,7a6753ef-6bb1-4fb3-ba93-fcbf3b20541b,03/01/2023,23/06/2023,23/06/2023,other,184597
6b2a70df-45cc-4079-a862-4ba07d8cc8a7,46436fe3-963b-44a1-9d16-6e49e5e4ad4a,7a6753ef-6bb1-4fb3-ba93-fcbf3b20541b,16/01/2024,16/01/2024,16/01/2024,left-teaching-profession,269136
23105cbc-d350-460a-af61-c9e5766d3795,491b47de-04f8-46e8-a04e-84e1c5f2d870,7a6753ef-6bb1-4fb3-ba93-fcbf3b20541b,01/09/2022,06/09/2022,06/09/2022,other,148720
9e0a7d68-1e70-4079-ad1e-da9f5e7c9bba,4c3db3a4-8027-4093-bc0c-3279c21e31e8,7a6753ef-6bb1-4fb3-ba93-fcbf3b20541b,01/09/2021,08/09/2022,08/09/2022,moved-school,172262
4e27ab5c-0163-4294-96f4-ce94daaeb9c8,4e28b519-79ee-49c5-af02-e316af749244,7a6753ef-6bb1-4fb3-ba93-fcbf3b20541b,01/09/2022,04/07/2023,04/07/2023,other,91348
e10bd832-3328-4dc4-988c-8fbb487b8b75,4e834579-7f48-413c-a6c4-a0d3fced10ee,7a6753ef-6bb1-4fb3-ba93-fcbf3b20541b,01/09/2021,24/06/2022,24/06/2022,left-teaching-profession,137992
b1c32c35-e34e-4384-bf64-cc80b7f1f4a7,501d0b4a-cc64-462b-9a59-d7fc25fd7e9f,7a6753ef-6bb1-4fb3-ba93-fcbf3b20541b,01/09/2021,23/09/2022,23/09/2022,left-teaching-profession,140165
